English Term;Turkish Term
Advanced technology attachment;Gelişmiş teknoloji eklentisi
Advanced threat protection;Gelişmiş tehdit koruması
Advanced threat protection network;Gelişmiş tehdit koruması ağ
Adversarial common knowledge;Düşmanca ortak bilgi
Adversarial machine learning;Çekişmeli makine öğrenimi
Adversarial tactics;Düşmanca taktikler
Adversarial tactics techniques and common knowledge ;Düşmanca taktikler teknikler ve ortak bilgi
Adversarial techniques;Düşmanca teknikler
Adversary;Düşman
Adverse consequence;Olumsuz sonuç
Adversity;Zorluk
Adware;Reklam yazılımı
Aes cipher based message authentication code;Gelişmiş şifreleme standardı şifre tabanlı ileti kimlik doğrulama kodu
Aes cipher block chaining;Gelişmiş şifreleme standardı şifre blok zincirlemesi
Aes counter mode;Gelişmiş şifreleme standardı sayaç kipi
Aes key wrap;Gelişmiş şifreleme standardı anahtar sargısı
Aes key wrap with padding;Dolgulu gelişmiş şifreleme standardı anahtar sargısı
Affiliated covered entities;Bağlı kuruluşlar
Affine transformation;Benzeşik dönüşüm
After action report;Eylem raporundan sonra
Agency;Ajans
Agency dashboard;Ajans denetim paneli
Agency dashboard and federal dashboard;Ajans denetim paneli ve federal denetim paneli
Agency financial report;Ajans mali raporu
Agency-wide adaptive risk enumeration;Ajans çapında uyarlanabilir risk sayımı
Agent;Etmen
Aggregate;Toplama
Aggregated information;Toplanmış bilgi Aggregation (of data) (Verilerin) toplanması
Aggressive mode;Etkin kip
Agility;Çeviklik
Agreement;Anlaşma
Aids;Yardımlar
Air gap;Bağlantısız
Air gap computer;Bağlantısız bilgisayar
Airdrop;Havadan yardım
Alaris system maintenance;Alaris sistem bakımı
Alarm;Uyarı işareti
Alen;İlişkili verilerin ikil boyu
Alert;Uyarı işareti
Alert message;Uyarı iletisi
Alert situation;Uyarı durumu
Algorithm;Algoritma
Algorithm identifier;Algoritma tanımlayıcı
Algorithm originator-usage period ;Algoritma oluşturucu-kullanım dönemi 
Algorithm security lifetime;Algoritma güvenlik ömrü
Algorithmic optimization;Algoritmik en iyileştirme
Algorithms for intrusion measurement;İzinsiz giriş ölçümü için algoritmalar
Alias;Takma ad
All authority;Tam yetki
All paths busy signal;Tüm hatlar meşgul sesi
All points addressable;Tüm noktaları adreslenebilir
All pole filter;Tüm kutuplu süzgeç
All source intelligence;Tüm kaynak istihbaratı
All zero filter;Tüm sıfırlı süzgeç
Allan deviation;Allan sapması
Allied nation;Bağlaşık ulus
Allocation;Tahsis
Allowlist;İzin verilenler listesi All-source intelligence Tüm kaynak istihbaratı
Alphabet;Alfabe
Alphabet size;Alfabe boyutu
Also authorization;Ayrıca yetkilendirme
Also known as;Ayrıca şöyle bilinir
Alternate comsec account manager;Yedek iletişim güvenliği hesap yöneticisi
Alternate comsec custodian;Yedek iletişim güvenliği sorumlusu
Alternate data stream;Yedek veri akışı
Alternate facilities;Yedek tesisler
Alternate mac/phy;Yedek ortam erişim denetimi ve fiziksel katman
Alternate process;Öteki süreç
Alternating current drive;Dalgalı akım sürücüsü
American registry for internet numbers ;İnternet numaraları için amerikan kayıt defteri
American standard code for information interchange ;Bilgi değişimi için amerikan standart kodu
Ami trusted environment;Gelişmiş ölçüm altyapısı güvenilir ortamı
Analog;Analog
Analog to digital converter;Örnekseli sayısala dönüştürücü
Analysis;Çözümleme
Analysis approach;Çözümleme yaklaşımı
Analysis of alternatives;Seçenek çözümlemesi
Analytic systems;Çözümleme sistemleri Analyze (V) Çözümlemek
Analyzer;Çözümleyici
Android for work;Kurumsal android işletim sistemi
Announcement traffic indication message ;Duyuru trafik gösterge iletisi
Annual conference on digital forensics security and law ;Adli bilişim güvenlik ve hukuk üzerine yıllık konferans
Annualized loss expectancy;Yıılık kayıp beklentisi
Anomalous event response and recovery management;Aykırı olay yanıtı ve kurtarma yönetimi
Anomaly based detection;Aykırılık tabanlı saptama
Anonymity;Adsızlık
Anonymization;Adsızlaştırma
Anonymized data;Adsızlaştırılmış veri
Anonymized information;Adsızlaştırılmış bilgi
Anonymizing proxy;Adsızlaştırma vekili
Anonymous identifier;Kimliksiz tanımlayıcı
Answer to reset;Sıfırlamaya yanıt
Anti botnet;Köleağ önleme
Anti cybersquatting;Siber hak koruma
Anti cybersquatter;Siber hak koruyucu
Anti forensic;Adli bilişim karşıtı
Anti jam;Yayın bozma önleyici
Anti malware;Kötücül yazılımsavar
Anti phishing;Oltalama önleme
Anti router;Kablosuz bağlantı koruyucu
Anti signal fingerprint;Sinyal-engellenmesin izi
Anti signal spoof;Sinyal önleme sahtekarlığı
Anti spam;İstenmeyen e-posta önlemi
Anti spoof;Kimlik aldatmacası önlemi
Anti spoofing;Kimlik aldatmacası önleme
Anti viral program;Virüs önler yazılım
Anti viral utility;Virüs aldatmacası yordamı
Anti virus;Virüs-önler
Anti virus software;Virüs-önler yazılım
Antispyware software;Casus yazılım önleyici yazılım
 Anti-tampering;Kurcalamaya karşı koruma 
Antivirus software;Virüsten koruma yazılımı
Antivirus tools;Virüsten koruma araçları
Aperiodic templates test;Dönemsiz kalıblar sınaması
App attack;Uygulama saldırısı
App security requirement;Uygulama güvenliği gereksinimi
App vetting process;Uygulama araştırma süreci
Apple push notification;Apple anlık bildirimi
Apple push notification system;Apple anlık bildirim sistemi
Applet;Küçük uygulama
Applicability statement;Uygulanabilirlik beyanı
Applicant;Başvuran
Application;Uygulama
Application;Başvuru
Application authentication;system Uygulama kimlik doğrulama sistemi
Application control;Uygulama denetimi
Application delivery controller;Uygulama dağıtım denetleyicisi
Application entity title;Uygulama varlık başlığı
Application identification;Uygulama tanımlama
Application interface capability;Uygulama arayüzü yeteneği
Application interconnection;Uygulama ara bağlantısı
Application layer;Uygulama katmanı
Application level gateway;Uygulama düzeyi ağ geçidi
Application programming interface;Uygulama programlama arayüzü 
Application protocol data unit;Uygulama kuralı veri birimi
Application server;Uygulama sunucusu
Application session;Uygulama oturumu
Application specific integrated circuit ;Uygulamaya özel tümleşik devre
Application translation;Uygulama çevirisi
Applied cybersecurity division;Uygulamalı siber güvenlik bölümü
Approach;Yaklaşım
Approval to connect;Bağlanma onayı
Approval to operate;Çalıştırma onayı
Approved;Onaylı
Approved cryptography;Onaylanmış şifreleme
Approved entropy source;Onaylanmış düzensizlik kaynağı
Approved hash algorithms;Onaylanmış özetlem algoritmaları
Approved security function;Onaylanmış güvenlik işlevi
Approver;Onaylayan
Approximate entropy test;Yaklaşık düzensizlik sınaması
Architecture;Mimari
Architecture and infrastructure committee ;Mimarlık ve altyapı komitesi
Architecture constructs;Mimari yapılar
Architecture description;Mimari açıklama
Architecture design principles;Mimari tasarım ilkeleri
Architecture framework;Mimari çerçeve
Architecture trade-off analysis;Mimari takas çözümlemesi
Architecture view;Mimari görünüm
Architecture viewpoint;Mimari bakış açısı
Archive;Arşiv
Archive facility;Arşivleme olanağı
Array;Dizi
Artifact;Yapıt
Artificial intelligence;Yapay zekâ
Artificial intelligence and machine learning ;Yapay zekâ ve makine öğrenimi
Asia pacific network information centre;Asya-pasifik ağ bilgi merkezi
Aspect;Bakış açısı
Assembly;Bütünleştirme
Assertion;Sav
Assertion reference;Sav göstergesi
Assessment;Değerlendirme
Assessment and authorization;Değerlendirme ve yetkilendirme
Assessment approach;Değerlendirme yaklaşımı
Assessment boundary;Değerlendirme sınırı
Assessment completeness;Değerlendirme bütünlüğü
Assessment criterion/criteria ;Değerlendirme ölçütü
Assessment element;Değerlendirme öğesi
Assessment element attribute;Değerlendirme öğesi özniteliği
Assessment element text;Değerlendirme öğesi metni
Assessment findings;Değerlendirme bulguları
Assessment method;Değerlendirme yöntemi
Assessment object;Değerlendirme nesnesi
Assessment objective;Değerlendirme amacı
Assessment plan;Değerlendirme planı
Assessment procedure;Değerlendirme yordamı
Assessment timeliness;Değerlendirme zamanındalığı
Assessor;Değerlendirici
Asset;Varlık
Asset framework;Varlık çerçevesi
Asset identification;Varlık tanımlama
Asset identification element;Varlık tanımlama öğesi
Asset report;Varlık raporu
Asset report request;Varlık raporu isteği
Asset reporting format;Varlık raporlama biçimi
Asset reporting format report;Varlık raporlama biçimli rapor
Assignment operation;Atama işlemi
Assignment statement;Atama deyimi
Associated data;İlişkili veriler
Association;Dernek ortaklık iş birliği
Association for automatic identification and mobility;Otomatik tanımlama ve hareketlilik derneği
Association for computing machinery;Bilgisayar makineleri derneği
Association for the advancement of medical instrumentation ;Tıbbi aletleri geliştirme derneği
Association of public safety communications officials;Kamu güvenliği iletişim görevlileri derneği
Assumption;Varsayım
Assurance;Güvence
Assurance case;Güvence durumu
Assurance evidence;Güvence kanıtı
Assurance in the large;Kapsamlı güvence
Assurance in the small;Yetersiz güvence
Assurance level;Güvence düzeyi
Assurance message;Güvence iletisi
Assurance of domain parameter validity;Etki alanı parametresi geçerliliğinin güvencesi
Assurance of possession;Bulundurma güvencesi Assurance of private-key possession Özel anahtar bulundurmanın güvencesi
Assurance of public key validity;Açık anahtarın geçerliliğinin güvencesi
Assurance of validity;Geçerlilik güvencesi Assurance- signature Güvence imzası
Assurance time;Güvence zamanı
Assured information sharing;Güvenceli bilgi paylaşımı
Assured software;Güvenilir yazılım
Asymmetric cryptography;Simetrik olmayan şifreleme
Asymmetric cyber advantage;Orantısız siber üstünlük
Asymmetric key;Asimetrik anahtar
Asymmetric key public;Asimetrik anahtar ortak
Key;(genel) anahtar
Asymmetric warfare;Asimetrik savaş
 Asymmetric-key cryptography;Asimetrik anahtar şifrelemesi
Asymptotic analysis;Sonuşurda çözümleme
Asymptotic distribution;Sonuşurda dağılım
Asynchronous connection less;Eşzamansız bağlantı az
Asynchronous transfer mode; Eşzamansız iletim modu
Atomic clock;Atom saati
Atomic oscillator;Atomsal salıngaç
Atomic swap;Atom değişimi
Attachment;Ek dosya
Attack;Saldırı
Attack alarm;Saldırı uyarısı
Attack attribution;Saldırı ilişkilendirme
Attack classification;Saldırı sınıflandırma
Attack coverage;Saldırı kapsamı
Attack detection;Saldırı saptama
Attack forest;Saldırı sahası
Attack interdiction point;Saldırı engelleme noktası
Attack load;Saldırı yükü
Attack manifestation;Saldırı belirtisi
Attack mechanism;Saldırı düzeneği
Attack method;Saldırı yöntemi
Attack mode;Saldırı kipi
Attack path;Saldırı yolu
Attack pattern;Saldırı örüntüsü
Attack relevant;Saldırıyla ilgili
Attack relevant event;Saldırıyla ilgili olay
Attack sensing and warning;Saldırı algılama ve uyarı
Attack signal;Saldırı imi
Attack signature;Saldırı imzası
Attack space;Saldırı alanı
Attack speed;Saldırı hızı
Attack step;Saldırı adımı
Attack surface;Saldırı yüzeyi
Attack taxonomy;Saldırı sınıflandırma
Attack tool;Saldırı aracı
Attack tool kit;Saldırı aracı takımı
Attack tree;Saldırı ağacı
Attack vector;Saldırı yolu
Attacker;Saldırgan
Attended;Katılan
Attenuation;Zayıflama
Attestation identity key;Onaylama kimlik anahtarı Attorney general's department Başsavcılık dairesi
Attribute;Öznitelik
Attribute administration point;Öznitelik yönetim noktası
Attribute and authorization services committee;Öznitelik ve yetkilendirme hizmetleri komitesi
Attribute authority;Öznitelik yetkilisi
Attribute bundle;Öznitelik paketi
Attribute practice statement;Öznitelik uygulama bildirimi
Attribute protocol;Öznitelik kuralı
Attribute reference;Öznitelik kaynağı
Attribute value;Öznitelik değeri
 Attribute-based access control ;Öznitelik tabanlı erişim denetimi 
Attribute-based authorization;Öznitelik tabanlı yetkilendirme
Attribute-value pair ;Öznitelik-değer çifti
Audience;İzleyici
Audit;Denetim
Audit administrator;Denetim yöneticisi
Audit and accountability;Denetim ve hesap verebilirlik
Audit data;Denetim verisi
Audit log;Denetim kaydı
Audit record;Denetim kaydı
Audit record reduction;Denetim kaydı azaltma
Audit reduction tools;Denetim azaltma araçları
Audit software;Denetim yazılımı
Audit trail;Denetim izi
Auditing;Denetleme
Auditor;Denetçi
Authenticable entity;Kimliği doğrulanabilir varlık
Authenticate;Kimlik doğrulamak
Authenticated cipher offset;Kimliği doğrulanmış şifre baskısı
Authenticated ciphering offset;Kimliği doğrulanmış şifreleme baskısı
Authenticated configuration scanner;Kimliği doğrulanmış yapılandırma tarayıcısı
Authenticated data;Denetlenmiş veri
Authenticated decryption;Kimliği doğrulanmış şifre çözme
Authenticated encryption;Kimliği doğrulanmış şifreleme Authenticated- encryption function Kimliği doğrulanmış şifreleme işlevi
Authenticated encryption with associated data ;İlişkili verilerle kimliği doğrulanmış şifreleme
Authenticated protected channel;Kimliği doğrulanmış korumalı kanal
Authenticated RFID;Kimliği doğrulanmış radyo frekansı tanımlama Authenticated-decryption function Kimliği doğrulanmış şifre çözme işlevi
Authentication;Kimlik doğrulama
Authentication and authorization service ;Kimlik doğrulama ve yetkilendirme hizmeti
Authentication and key agreement;Kimlik doğrulama ve anahtar sözleşmesi
Authentication and key management;Kimlik doğrulama ve anahtar yönetimi
Authentication center;Kimlik doğrulama merkezi
Authentication chain;Kimlik doğrulama zinciri
Authentication code;Kimlik doğrulama kodu
Authentication error;Kimlik denetimi hatası
Authentication factor;Kimlik denetimi etkeni
Authentication header;Kimlik doğrulama başlığı
Authentication header protocol; Kimlik doğrulama başlığı kuralı
Authentication information;Kimlik doğrulama bilgisi
Authentication intent;Kimlik doğrulama istemi
Authentication key;Kimlik doğrulama anahtarı
Authentication mechanism;Kimlik doğrulama düzeneği
Authentication period;Kimlik doğrulama süresi
Authentication protocol run;Kimlik doğrulama kuralı çalıştırması
Authentication secret;Kimlik doğrulama gizliiği
Authentication server;Kimlik doğrulama sunucusu
Authentication tag;Kimlik doğrulama etiketi
Authentication token;Kimlik doğrulama gereci
 Authentication authorization and accounting;Kimlik doğrulama yetkilendirme ve hesap
Authentication authorization and accounting key;Kimlik doğrulama yetkilendirme ve hesap anahtarı
Authenticator;Kimlik doğrulayıcı
Authenticator assurance level;Kimlik doğrulayıcı güvence düzeyi
Authenticator output;Kimlik doğrulayıcı çıktısı
Authenticator secret;Kimlik doğrulayıcı gizliliği
Authenticator specific module;Kimlik doğrulayıcıya özel birim
Authenticator type;Kimlik doğrulayıcı türü
Authenticity;Özgünlük
Authenticode security technology;Kimlik denetleme güvenliği teknolojisi
Author;Yazar
Authorizing officer;Yetkilendirme görevlisi
Authoritative rrset;Güvenilir kaynak kayıtlar kümesi
Authoritative source;Güvenilir kaynak
Authority;Yetki 
Authority information access;Yetkili bilgi erişimi
Authority revocation list;Yetki iptal listesi
Authority to operate;İşletme yetkisi
Authority type;Yetki türü
Authorization;Yetkilendirme
Authorization boundary;Yetki sınırı
Authorization component;Yetkilendirme bileşeni
Authorization key;Yetkilendirme anahtarı
Authorization key identifier;Yetkilendirme anahtarı tanımlayıcısı
Authorization level;Yetki düzeyi
Authorization package;Yetkilendirme paketi
Authorization pattern;Yetki örüntüsü
Authorization server;Yetkilendirme sunucusu
Authorization to operate;Çalıştırma yetkisi
Authorization to use;Kullanma yetkisi
Authorize;Yetkilendirmek
Authorize processing;İşlemeye (yürütmeye) yetkilendirmek
Authorized;Yetkili
Authorized data publisher;Yetkili veri yayıncısı
Authorized data security association list ;Yetkilendirilmiş veri güvenliği derneği listesi
Authorized entity;Yetkilendirilmiş kuruluş
Authorized ID;Yetkilendirilmiş kimlik
Authorized key;Yetkilendirilmiş anahtar
Authorized keys file;Yetkilendirilmiş anahtar dosyası
Authorized user;Yetkili kullanıcı
Authorized vendor;Yetkili satıcı
Authorizing official;Yetkilendirme yetkilisi
Authorizing official;designated representative Resmen atanmış temsilciyi yetkilendirme
Auto hacking attack;Otomatik siber saldırı
Automated access;Otomatik erişim
Automated certificate;Otomatik belgelendirme
Automated certificate;management environment
Otomatik belgelendirme;yönetim ortamı
Automated checklist;Otomatik denetim listesi
Automated combinatorial testing;Otomatik tümleşik sınama
Automated combinatorial testing for software ;Yazılım için otomatik tümleşik sınama
Automated cryptographic validation protocol ;Otomatik şifreleme doğrulama kuralı
Automated cryptographic validation test system ;Otomatik şifreleme doğrulama sınama sistemi
Automated indicator sharing;Otomatik gösterge paylaşımı
Automated information system security;Otomatik bilgi sistemi güvenliği
Automated information system security program;Otomatik bilgi sistemi güvenlik programı
Automated password;generator Otomatik parola üreteci
Automated process;Otomatik süreç
Automated security monitoring;Otomatik güvenlik izleme Automatic call distribution  Otomatik çağrı dağıtımı
Automatic data processing;Otomatik veri işleme
Automatic data protection;Otomatik veri koruma
Automatic disinfecting;Otomatik virüs arındırma
Automatic identification and data capture ;Otomatik tanımlama ve veri yakalama
Automatic identification technology;Otomatik tanımlama teknolojisi
Automatic remote rekeying;Otomatik uzaktan yeniden anahtarlama
Automatically disinfect the system;Dizgeyi virüsten otomatik arındırma
Automatically remove a virus;Otomatik virüs arındırma
Autonomous system;Özerk sistem
Autonomous system number;Özerk sistem numarası
Autorun worm;Otomatik çalışan solucan
Auxiliary power unit;Yardımcı güç birimi
Availability;Erişebilirlik  
Availability impact;Erişebilirlik etkisi
Avatar;Sanal kişi
Awareness;Farkındalık
Awareness and training;Farkındalık ve öğretim
Awareness training;Farkındalık öğrenimi
Back channel;Arka kanal
Back channel communication;Arka kanal iletişimi
Back door;Arka kapı
Backbone;Omurga
Backdoor;Arka kapı
Backdoor penetration;Arkakapıdan sızma
Backdoor penetration strategy;Arkakapıdan sızma izlemi
Backdoor trojan;Arka kapı truva atı
Backhaul;Ana taşıyıcı
Backing up;Yedekleme
Backscatter channel;Geri yansımalı kanal
Backtracking resistance;Geri izleme direnci
Backup;Yedek
Backup facility;Yedekleme olanağı
Baiting;Yemleme
Bandwidth;Bant genişliği
Banker trojan;Banka truva atı
Banner;Afiş
Banner grabbing;Afiş kapma
Bare metal virtualization;Çıplak metal sanallaştırma
Base assessment;Temel değerlendirme
Base layer;Temel katman
Base standards;Temel standartlar
Base station;Baz istasyonu
Base station controller;Baz istasyonu denetleyicisi
Base transceiver station;Baz alıcı-verici istasyonu
Baseboard management controller; Anakart yönetim denetleyicisi
Baseline;Temel satır
Baseline configuration;Temel yapılandırma
Baseline criticality;Temel kritiklik
Baseline security;Temel güvenlik
Baseline security requirement;Temel güvenlik gereksinimi
Baselining;Taban çizgisi
Basic assessment;Temel değerlendirme
Basic authentication;Temel kimlik doğrulama
Basic encoding rules;Temel kodlama kuralları
 Basic input/output system;Temel giriş/çıkış sistemi
Basic rate;Temel oran
Basic rate/enhanced data rate;Temel hız/gelişmiş veri hızı
Basic service set;Temel hizmet takımı
Basic service set identifier;Temel hizmet takımı tanımlayıcısı
Basic testing;Temel sınama
Basic vector;Temel vektör
Bastion;Korunak
Bastion host;Korunaklı anabilgisayar
Batch process;Toplu işlem
Bearer assertion;Taşıyıcı savı
Behavior analysis;Davranış çözümleme
Behavior based safety;Davranış tabanlı güvenlik
Behavior monitoring;Davranış izleme
Behavior monitoring hack;Davranış izleme siber saldırısı
Behavioral anomaly detection;Davranışsal aykırılığı saptama
Behavioral outcome;Davranışsal sonuç
Benchmark;Karşılaştırma
Benchmark consumer;Karşılaştırmalı tüketici
Benchmark producer;Karşılaştırma üreticisi
Bend;Bükülmek
Benign environment;İyi huylu çevre
Berkeley internet name domain;Berkeley internet alan adı
Bernoulli random variable;Bernoulli rastgele değişkeni
Best current practice;En iyi güncel uygulama
Best practice;En iyi uygulama
Bgp (Border gateway protocol) monitoring protocol ;(Sınır ağgeçidi kuralı) izleme kuralı
Bgp origin validation;(Sınır ağgeçidi kuralı) köken geçerlemesi
Bgp path validation;(Sınır ağgeçidi kuralı) yol geçerlemesi
Bgp peer;(Sınır ağgeçidi kuralı) benzer
Bgp secure routing extension;(Sınır ağgeçidi kuralı) güvenli yönlendirme uzantısı
Bgp security extension;(Sınır ağgeçidi kuralı) güvenlik uzantısı
 Bgpsec input-output ;(Sınır ağgeçidi kuralı güvenliği) giriş-çıkış
Bgpsec path validation;(Sınır ağgeçidi kuralı güvenliği) yol geçerlemesi
Bgpsec-io traffic generator ;(Sınır ağgeçidi kuralı güvenliği) giriş-çıkış trafik oluşturucu
Biased;Önyargılı Bi-directional Çift yönlü
 Bidirectional authentication;Çift yönlü kimlik doğrulama
Big data;Büyük veri
Big data analytics for social networks;Toplumsal ağlar için büyük veri çözümlemesi
Big data for social networks;Toplumsal ağlar için büyük veri
Big data security;Büyük veri güvenliği
Binary coded decimal;İkili kodlanmış ondalık
Binary data;İkili veri
Binary large object;İkili büyük nesne
Binary sequence;İkili sıra
Bind;Bağ
Binding;Bağlama
Binding operational directive;Bağlayıcı işletimsel yönerge
Binomial distribution;Binom dağılımı
Biometric;Biyometrik
Biometric conformance test software;Biyometrik uygunluk test yazılımı
Biometric data block;Biyometrik veri öbeği
Biometric information;Biyometrik bilgi
Biometric information template;Biyometrik bilgi kalıbı
Biometric system;Biyometrik sistem
Biometrics;Biyometri
Birthday attack;Doğum günü şifre çözme saldırısı
Bit;İkil
Bit error;İkil hatası
Bit error rate;İkil hata oranı
Bit length;İkil uzunluğu
Bit stream imaging;İkil akışı görüntüleme
Bit string;İkil dizisi
Bitcoin;İkilpara
Bitcoin cash;Nakit ikilpara
Bitstring;İkil-dizi
Black box testing;Kara kutu testi
Black core;Kara çekirdek
Black data;Karanlık veri
Black hacker;Kötü niyetli siber saldırgan
Black hat;Kötü niyetli
Black hat hacker;Kötü niyetli siber saldırgan
Black hole attack;Kara delik saldırısı
Black hole email address;Kara delik e-posta adresi
Black hole filtering;Kara delik süzgeçleme Black holes (networking) Kara delikler (ağ iletişimi)
Black start hack;Başlatma üreteci siber saldırganlığı
Black swan event;Beklenmedik olay
Blackbox attack;Kara kutu saldırısı
Blacklist;Karaliste
Blacklisting;Kara listeye alma
Blamestorming;Suçlama fırtınası
Blended attack;Karma saldırı
Blended threat;Karma tehdit
Blended threat attack;Karma tehdit saldırısı
Block;Öbek
Block cipher algorithm;Öbek şifreleme algoritması
Block cipher mode of operation;Blok şifrelemeli çalışma modu
Block ciphers;Öbek şifreleme
Block data;Öbek veri
Block frequency test;Öbek frekans testi
Block header;Öbek başlığı
Block reward;Öbek ödülü
Block size;Öbek boyutu
Blockchain;Öbekzinciri
Blockchain explorer;Öbekzincir gezgini
Blockchain implementation;Öbekzincir uygulaması
Blockchain network;Öbekzincir ağı
Blockchain network user;Öbekzincir ağ kullanıcısı
Blockchain security;Öbekzincir güvenliği
Blockchain subnetwork;Öbekzincir alt ağı
Blockchain technology;Öbekzincir teknolojisi
Blocklist;Engelleme listesi
Blue team;Mavi takım
Body;Gövde
Body of evidence;Kanıt varlığı
Boot device selection;Önyükleme aygıtı seçimi
Boot record infector;Önyükleme kaydı bulaştırıcısı
Boot sector malware;Önyükleme bölgesi kötücül yazılımı
